YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1950,Southeast,3.67579,4.043,3.5145,3.1215,2.634,2.388,1.89,4.67421,2.1505,1.7275,6.666,3.876
1950,Western,4.4575,3.205,2.2675,2.82,3.47,3.85,3.72,3.2175,1.4525,1.74,8.1475,3.5475
1951,Cape Cod and Islands,3.406,3.478,3.572,2.32,3.71167,1.27833,1.532,6.4175,1.14167,3.02,5.062,4.76167
1951,Central,3.69381,4.54571,4.71143,3.14143,4.2719,3.16238,4.68048,4.82,2.33286,4.74238,6.55952,4.48524
1951,Connecticut River,3.83043,4.25739,5.77565,3.48609,3.49478,4.35,4.0513,4.33043,3.22913,5.43636,6.07435,5.16
1951,Northeast,3.66214,3.94786,4.57036,2.78286,4.6125,3.07964,3.91286,3.19286,2.3525,4.65821,7.07929,4.40429
1951,Southeast,4.532,3.454,4.498,3.096,4.426,1.9775,2.4975,4.2455,1.9985,3.494,6.9935,4.76
1951,Western,4.0775,3.8425,4.7525,3.435,2.86,4.0475,5.375,3.5725,3.5625,5.4,5.2625,4.1375
1952,Cape Cod and Islands,5.01833,6.04,3.225,2.8,3.41833,1.452,0.54,7.005,2.78833,1.83,1.96,4.37333
1952,Central,4.72619,2.59857,3.14857,4.67,4.15048,3.82857,3.33286,5.97524,3.7,1.14048,2.19571,3.72619
1952,Connecticut River,4.44826,2.6187,3.50609,5.38318,5.76826,4.60826,3.9413,4.61217,4.42043,1.08609,2.7487,4.08435
1952,Northeast,4.42286,3.97036,3.62536,4.25536,4.76357,2.83643,1.07964,6.83036,2.04964,1.45714,2.09893,3.85679
1952,Southeast,4.475,5.081,3.759,3.755,3.6045,2.803,0.247,6.4335,1.9575,1.916,2.2895,3.709
1952,Western,4.0975,2.185,3.055,4.3325,5.485,4.6875,3.56,4.2425,5.06,0.9525,2.2925,3.7475
1953,Cape Cod and Islands,7.52833,5.11,6.12,6.03667,2.38167,0.285,5.19833,4.58333,4.68,4.4,6.845,4.54667
1953,Central,6.3819,3.03333,7.876,6.97619,4.99048,2.65,2.23667,1.38286,1.64857,5.98952,4.16571,4.85381
1953,Connecticut River,6.53739,2.8087,8.94261,6.70913,5.42926,2.98043,2.34652,1.68652,1.81043,5.39478,2.74391,4.87565
1953,Northeast,5.81393,3.34286,8.86464,5.54679,4.24571,1.03643,3.00643,2.15214,2.0275,5.29643,5.69571,4.35286
1953,Southeast,6.5925,4.722,8.34,6.314,3.12,0.733,5.02727,3.79773,3.48136,5.49182,6.51591,4.95591
1953,Western,5.9625,2.2175,7.81,6.5825,4.145,3.945,2.015,0.905,2.7225,3.8975,2.81,4.8375
1954,Cape Cod and Islands,3.31,2.74667,3.135,4.13833,4.46,3.27167,2.125,5.77667,5.065,1.79667,4.88667,6.04667
1954,Central,2.52286,2.30143,3.8881,4.63714,5.37095,3.38762,3.63905,6.513,7.36095,2.78476,5.53524,4.61857
1954,Connecticut River,2.44565,2.27261,4.06087,4.35217,5.81348,3.09696,3.34783,5.24391,7.3113,2.56826,6.0087,4.17261
1954,Northeast,2.88179,2.95786,3.22393,4.83143,9.52778,2.60536,2.77429,6.05321,8.82815,2.87393,5.16741,5.13893
1954,Southeast,3.07045,3.04545,3.59909,4.56682,7.43545,2.50909,2.575,7.00864,7.32273,2.76636,5.08864,5.87
1954,Western,2.6025,2.2,3.8225,4.2925,4.9625,2.345,4.0075,5.13,6.835,2.3525,6.645,3.9675
1955,Cape Cod and Islands,0.82667,3.45667,4.10833,4.66667,1.66667,1.86667,2.45333,7.91333,3.26667,4.72167,4.82167,1.39
1955,Central,0.88143,3.66286,4.14333,3.69524,2.10286,3.88619,2.53429,15.0443,2.88048,9.3865,4.66714,0.7519
1955,Connecticut River,0.89957,3.81957,4.16913,5.01348,2.58304,3.37739,2.32522,18.2686,3.56435,12.3791,4.92522,0.93
1955,Northeast,0.82571,3.6475,4.17607,3.48393,1.41357,3.43143,2.165,13.3925,2.26286,7.38778,5.34214,0.96643
1955,Southeast,0.83682,4.09909,4.23955,3.96818,1.28591,2.66045,3.09,15.3473,3.54955,6.98,5.75909,1.00227
1955,Western,1.04,3.755,3.48,4.66,1.945,2.1125,1.1875,15.0325,3.4825,9.9425,4.8825,1.3275
1956,Cape Cod and Islands,5.49667,5.39333,6.68667,2.41833,3.23,1.97571,4.50143,3.39286,2.28286,2.61857,2.95857,4.80714
1956,Central,5.04714,4.05143,5.6535,3.95857,2.1381,2.50476,3.1781,1.90238,5.15762,2.35857,3.61143,4.89143
1956,Connecticut River,2.91909,4.01318,5.33273,3.90636,1.84636,3.10909,3.98136,1.79955,6.01682,2.09727,3.45909,4.72273
1956,Northeast,7.17857,4.55857,5.78036,3.62964,1.79071,1.84036,2.56929,1.68714,4.13821,3.77857,3.49036,5.22964
1956,Southeast,5.95636,4.49818,6.12182,2.88727,2.49864,2.24227,5.18136,2.13318,3.78182,3.50091,3.70409,6.07545
1956,Western,2.8,3.8325,5.1375,3.9,2.45,1.4825,3.58,2.5775,6.2025,2.61,2.8,4.22
1957,Cape Cod and Islands,2.56571,2.32714,3.51857,3.23286,1.67714,0.11714,1.51143,5.586,1.90667,2.565,4.57833,5.14167
1957,Central,2.04857,1.34429,2.27571,3.27905,3.77286,3.56857,1.05714,1.76667,1.66667,2.51429,5.23952,6.492
1957,Connecticut River,1.9913,1.36739,1.73957,3.06957,3.54478,3.07,2.12739,1.72609,2.14609,2.42783,5.07478,6.68913
1957,Northeast,2.52929,1.39321,2.74929,3.12321,3.10321,1.43964,1.015,1.85214,0.8525,2.74643,5.31107,5.31214
1957,Southeast,2.64591,1.81,3.13455,4.23273,1.84591,0.775,1.79409,2.92318,0.73,2.36818,4.705,5.94818
1957,Western,1.615,1.105,1.14,2.81,3.435,2.775,3.0525,2.9825,2,1.7,3.4625,5.745
1958,Cape Cod and Islands,6.75,3.06714,3.93429,8.88714,5.52,2.54143,3.03857,8.39429,5.66857,2.98,3.21143,1.44286
1958,Central,6.30095,2.82048,3.50619,5.07095,3.56286,1.81619,5.58429,3.47905,5.64619,2.51333,3.90524,1.59667
1958,Connecticut River,5.08478,3.11565,2.84826,5.17522,3.32348,2.20304,5.10261,3.60043,5.53261,3.20391,3.85304,1.45087
1958,Northeast,9.2837,3.9875,3.61321,5.90929,3.41321,2.00893,4.24643,3.41571,5.56607,3.39071,3.14929,1.65607
1958,Southeast,7.83,3.81435,4.13696,8.22435,4.78913,2.27652,4.44261,5.53565,5.42652,2.93739,3.12913,1.89609
1958,Western,3.925,2.7825,1.9975,3.74,2.2125,2.595,5.1575,3.8475,6.155,3.5325,4.055,1.0775
1959,Cape Cod and Islands,1.86143,4.60286,6.22143,3.58714,1.98429,5.56167,5.735,2.13167,0.54,6.5,4.53857,3.39143
1959,Central,3.51429,2.57429,4.84857,4.32857,1.18048,4.24571,6.3935,4.5365,1.71667,7.90381,5.00429,4.38667
1959,Connecticut River,3.64174,2.3887,4.82636,3.85261,1.29957,3.9487,4.74913,5.38091,1.70696,8.89565,5.27478,4.52609
1959,Northeast,2.74,2.965,4.72107,3.65786,1.04321,6.35607,6.71036,3.10964,1.34393,5.1875,4.36893,4.40143
1959,Southeast,2.11609,3.83348,6.1187,4.12435,1.78217,6.26826,5.79087,2.3113,1.02565,5.71826,4.90478,4.42174
1959,Western,4.1275,2.085,3.29,1.97,0.7975,3.2625,4.01,4.895,1.255,7.8,5.4625,4.715
1960,Cape Cod and Islands,3.22833,5.08667,2.63143,3.72857,3.26167,2.36286,3.77571,0.88143,4.11571,1.88571,3.23833,5.14167
1960,Central,3.11095,4.40381,3.40429,4.20571,4.81619,3.46429,7.03429,3.23,7.15524,3.75952,2.91429,3.10524
1960,Connecticut River,3.27261,4.77739,3.22391,4.27261,3.89522,4.15826,6.47727,3.67783,7.5913,3.12174,2.46609,2.79174
1960,Northeast,3.05214,4.42,3.12929,3.27714,3.79214,2.03,5.25357,1.9175,6.05857,2.67893,2.75857,3.59893
1960,Southeast,3.36435,5.1287,3.14348,3.88261,3.40783,1.72826,5.31478,2.23957,7.14955,2.90478,2.63217,4.50391
1960,Western,3.2075,4.4875,3.1475,3.4275,1.9725,4.2275,4.9,4.515,7.1575,2.74,1.815,2.19
1961,Cape Cod and Islands,2.58667,3.75167,3.75833,4.60333,5.66333,1.33714,4.15833,4.545,3.76333,7.95,3.37857,2.99429
1961,Central,2.67095,3.28762,3.65571,4.68524,3.32333,3.68667,4.05429,3.07476,4.51571,2.29381,3.86286,3.51667
1961,Connecticut River,2.74636,3.11227,3.69091,4.90455,3.64818,3.81273,3.52227,2.63773,3.28773,2.00409,3.63909,3.03455
1961,Northeast,2.38964,3.07286,4.17821,5.76821,3.60214,2.11,3.73679,3.44107,7.575,2.57214,4.06857,3.89821
1961,Southeast,2.62739,3.40217,4.03913,5.32609,4.89739,1.79652,3.3713,3.31696,6.99682,3.76217,3.45783,3.5787
1961,Western,1.9675,3.225,2.71,4.1975,3.9425,4.3825,3.2075,2.715,3.55,1.5625,4.435,3.4675
1962,Cape Cod and Islands,4.59,4.25833,1.04333,5.02333,1.32,5.54667,2.11167,3.38167,4.36667,7.94,4.785,2.845
1962,Central,3.42048,4.41,2.49286,2.79286,3.29857,2.78905,2.59,3.67,3.64714,7.24095,3.02762,3.47667
1962,Connecticut River,3.29409,4.38091,2.46773,2.74,2.47273,2.25864,2.30545,3.43,3.82727,5.21864,2.73909,3.24273
1962,Northeast,3.07429,4.1225,2.98,3.63607,2.53429,2.91893,2.42679,3.82821,4.31393,10.3539,3.51357,4.565
1962,Southeast,4.36217,4.34391,2.29652,3.64391,1.83391,4.02304,1.46043,3.97522,3.56478,9.09286,4.10087,3.60739
1962,Western,3.005,3.675,1.6925,2.92,2.0125,2.2075,2.6125,3.785,2.915,3.4425,2.0325,3
1963,Cape Cod and Islands,3.50857,4.09571,4.88429,1.81,5.15167,1.26,2.40429,2.67,4.61286,2.24857,4.03143,2.99
1963,Central,2.91727,3.08045,3.63591,1.70045,2.64409,3.35455,2.03682,2.57545,3.88409,0.90364,6.80273,2.45909
1963,Connecticut River,2.78682,3.115,3.34091,1.82273,2.61773,3.91636,2.31545,2.86136,3.66773,0.59273,6.11727,2.57182
1963,Northeast,3.19857,3.02321,4.09714,1.43893,3.14393,1.68643,2.49,2.20964,3.83179,1.94607,8.1775,2.64821
1963,Southeast,3.6037,3.40343,4.12087,1.7437,3.82652,2.45217,3.49,3.04391,4.20565,1.84917,6.505,2.83125
1963,Western,3.1525,2.79,2.8775,1.9775,2.4075,2.995,2.7875,3.2425,3.245,0.5225,6.64,2.56
1964,Cape Cod and Islands,2.94857,4.39,2.04857,5.70714,0.69429,0.97,2.47571,2.47714,4.24714,4.39571,1.20857,5.15286
1964,Central,4.67174,2.87217,3.4887,3.4287,1.19957,1.72565,2.82261,2.28435,1.46565,1.85565,2.69174,4.52696
1964,Connecticut River,4.71,2.47182,3.16591,3.20318,1.26227,1.97773,3.29909,2.59273,1.20318,1.73318,2.39545,4.01095
1964,Northeast,4.39357,3.93464,3.295,4.12571,0.92429,1.76607,3.02724,1.68966,2.03138,2.86379,2.56483,4.62897
1964,Southeast,4.81,4.08958,2.43667,5.27792,0.53083,1.52875,3.45417,2.09667,3.63042,2.89375,2.5075,5.48833
1964,Western,4.4,2.42333,3.10333,3.4,0.64667,2.04333,3.61167,3.56667,0.97667,1.36667,1.87333,3.915
1965,Cape Cod and Islands,3.195,2.37143,1.65857,3.10143,1.67857,1.84571,1.34857,2.73143,2.39286,2.13429,2.51429,1.53286
1965,Central,1.99625,3.16167,1.9425,2.87917,1.5025,3.02,1.775,3.014,2.4492,3.0516,2.6004,2.064
1965,Connecticut River,2.3713,3.14174,1.85652,2.36391,1.25261,2.61391,2.995,3.86783,3.30333,3.03,2.49042,2.06583
1965,Northeast,2.03138,3.64034,2.08,2.59655,1.56586,3.21862,1.14379,2.18724,2.43034,2.20586,2.33034,1.91517
1965,Southeast,2.56917,2.98875,1.79792,2.81083,1.28875,2.75609,1.0713,2.48208,2.54542,2.68,2.25958,1.77826
1965,Western,2.77167,2.025,1.41,2.435,1.74333,2.56167,3.76667,4.585,3.96,1.92167,2.70833,2.76667
1966,Cape Cod and Islands,3.80667,2.735,1.75286,1.74,7.19571,1.66,1.31429,2.95429,5.07833,2.59429,5.29714,2.64429
1966,Central,3.72231,3.75308,2.35385,1.31577,3.19462,2.45462,3.50192,1.40462,5.22846,3.71846,4.44192,2.61077
1966,Connecticut River,2.92458,3.56292,2.27,1.35917,2.88875,2.71,4.21083,1.57833,5.63333,4.20833,3.91833,2.74083
1966,Northeast,4.63379,3.68379,1.77517,1.3669,3.03931,2.21586,2.65586,1.48966,4.8331,3.04345,4.48483,2.77414
1966,Southeast,4.2975,3.83917,1.71792,1.65625,3.91167,2.0775,2.22458,2.53375,5.25292,3.16,4.72125,2.76458
1966,Western,2.7,3.06333,2.39167,1.79833,2.42667,2.47667,4.06667,2.84667,5.7,3.72667,3.49167,2.92333
1967,Cape Cod and Islands,2.26667,3.28333,4.69,5.30833,8.74833,3.424,4.03333,5.885,1.99,1.68833,5.29,5.60333
1967,Central,1.64385,3.38462,3.84038,4.37962,6.90885,3.68808,4.17192,3.83808,3.53115,1.80769,3.41231,5.6028
1967,Connecticut River,1.45875,2.98,3.73333,4.26542,5.73542,4.05792,4.82708,2.78458,2.49083,2.80542,2.86208,5.675
1967,Northeast,2.19067,3.42633,3.809,4.77,7.13933,3.816,3.039,3.67633,2.89933,1.19567,3.475,6.104
1967,Southeast,2.02083,2.86208,4.89458,4.565,8.26375,3.29125,3.92792,4.58625,3.20542,2.04792,3.34583,6.72958
1967,Western,1.375,3.06,3.28,3.57167,3.645,4.955,5.90667,2.60833,1.965,3.65167,2.21167,4.75833
1968,Cape Cod and Islands,2.59,1.38333,6.96333,1.312,3.67167,5.49,0.586,1.455,1.04833,2.54667,5.96167,6.28
1968,Central,2.58654,1.22538,6.212,1.94731,5.00538,7.89462,1.54115,1.37462,1.88192,2.03154,6.345,5.874
1968,Connecticut River,2.01917,1.23417,4.86167,2.60583,4.2575,8.175,1.11625,2.12958,2.88583,2.9575,5.69217,5.42583
1968,Northeast,3.15194,1.25516,6.759,1.98871,3.66161,6.786,1.40258,1.80258,1.46065,1.99355,7.20129,6.429
1968,Southeast,3.38542,1.51917,8.63542,1.99417,3.89304,6.06458,1.40292,2.01125,1.7013,2.11917,6.98708,6.28348
1968,Western,1.82667,1.49,3.65333,3.11833,4.405,7.325,1.18667,2.02333,3.03833,2.635,4.835,5.35833
1969,Cape Cod and Islands,1.315,7.74,4.20833,4.59,1.802,1.79167,2.30333,2.12833,5.36667,2.10833,7.60167,9.315
1969,Central,1.35038,4.2692,2.54731,4.79885,2.98115,2.44154,4.36154,4.21385,5.1076,1.82923,6.00615,7.48833
1969,Connecticut River,1.44167,2.98875,2.1925,5.33958,2.96125,3.24833,5.75958,4.425,3.7825,1.76333,6.57958,7.05208
1969,Northeast,2.03871,5.83833,2.73032,4.05774,1.87452,1.5329,3.86355,2.52097,4.84387,1.75935,8.35129,9.32067
1969,Southeast,1.63833,6.55042,3.72708,4.76833,2.72167,1.30083,2.96667,3.0275,4.41333,2.18417,7.38727,10.4479
1969,Western,1.79667,2.775,1.98667,4.855,3.25,3.93833,6.96667,2.94833,3.365,2.37833,6.58833,5.9
1970,Cape Cod and Islands,1.205,5.95,4.22167,2.98833,2.67667,4.512,2.635,5.89833,3.66,3.68333,5.755,3.93
1970,Central,1.06577,5.05,3.8208,3.71192,4.09885,4.30385,1.91231,4.36538,2.625,2.68692,3.86692,4.03615
1970,Connecticut River,0.77208,4.39042,3.3525,3.805,4.76917,3.20583,2.47792,4.06542,2.90292,2.35417,3.52083,4.07792
1970,Northeast,0.85161,4.83903,3.82065,3.36806,3.33226,4.32032,1.77065,4.02633,2.84968,3.18258,3.82903,5.50677
1970,Southeast,0.86,5.46625,4.40208,3.2975,2.95292,3.66083,1.35826,5.41583,1.88792,3.45,5.1225,4.125
1970,Western,0.78,3.01667,3.20333,3.58833,4.025,2.325,3.75167,3.73333,3.47167,2.82833,3.45333,3.37333
1971,Cape Cod and Islands,3.20833,5.16,2.75667,2.76833,5.54167,0.31833,1.475,2.75,0.62333,1.74167,4.87833,2.48667
1971,Central,2.25808,4.30654,2.78115,2.10462,4.03846,2.73192,4.42346,4.31038,3.41769,3.16577,5.095,3.11538
1971,Connecticut River,2.19208,3.95417,3.20083,2.01458,3.90292,2.02375,3.90917,5.765,3.22667,3.37167,4.54,3.36625
1971,Northeast,1.78742,4.49226,2.57871,2.77194,4.30258,2.20065,3.57806,2.83419,2.04839,2.80516,6.15613,2.82516
1971,Southeast,2.04696,5.23174,3.10522,2.955,4.62583,0.93,3.19417,2.52083,1.64083,2.93667,6.4125,2.66417
1971,Western,1.76833,3.57167,3.01333,2.36167,4.345,2.16333,4.775,6.80833,4.00667,2.99,4.14,3.86
1972,Cape Cod and Islands,3.188,4.972,5.64333,4.92667,5.84,7.706,2.27667,1.73333,12.5433,3.48667,6.93333,7.04
1972,Central,2.34731,4.73269,6.77808,3.98885,6.70269,6.42885,3.95615,2.50077,3.35423,3.47154,8.08231,6.60269
1972,Connecticut River,1.85042,4.195,5.055,3.93708,6.74792,7.47955,4.14292,2.485,1.94917,3.45292,8.22583,6.87625
1972,Northeast,1.77031,5.25063,6.18156,3.48344,6.14344,7.19563,3.96813,1.44781,4.85375,3.50031,8.24063,6.3
1972,Southeast,2.13913,5.59522,6.80167,3.79958,6.56042,7.50583,3.0575,2.42708,8.12385,3.70375,8.4587,7.45958
1972,Western,2.47667,3.19667,3.59333,3.65333,7.56,8.12667,4.34833,3.04333,1.66667,3.67833,7.52667,6.24167
1973,Cape Cod and Islands,1.55743,3.11857,3.33857,7.57429,3.80857,3.96167,7.61857,3.61333,3.33286,5.715,2.575,6.81143
1973,Central,3.80231,2.785,3.68846,5.86808,4.93923,5.47462,3.59423,3.50846,2.87154,3.53154,2.21846,8.90346
1973,Connecticut River,3.53667,2.82375,3.54208,6.24583,5.94208,5.99091,3.21917,3.48583,2.50167,3.04875,2.35042,9.04292
1973,Northeast,2.9625,2.205,2.64344,6.75906,4.33375,5.25063,4.36125,3.42094,2.5,3.24594,2.09469,7.87188
1973,Southeast,2.68583,3.22958,2.59333,6.73375,3.97792,4.80792,4.3287,3.82417,4.80917,3.33958,2.4675,9.23042
1973,Western,2.72833,2.64667,3.285,4.75667,7.095,5.94,3.65167,7.07333,2.44167,3.36333,2.36167,9.16833
1974,Cape Cod and Islands,4.10714,2.89857,2.61286,3.86429,4.13,3.41,1.10143,2.45714,4.05714,2.19429,1.89286,3.62714
1974,Central,3.59846,2.67654,4.72692,3.36462,4.22385,3.19462,2.85577,3.20923,9.29077,2.54731,2.96308,4.68577
1974,Connecticut River,3.68425,2.55125,4.46917,3.48958,4.73417,2.915,4.20667,3.63583,7.77833,2.35458,3.33083,4.02
1974,Northeast,3.19344,2.90344,4.34188,3.66094,4.05875,3.14656,1.63625,2.84344,7.69156,2.79063,2.35563,4.64563
1974,Southeast,4.19833,2.69167,4.41,3.96208,3.64708,2.99042,2.19042,3.1725,6.41417,2.87458,2.02333,4.24208
1974,Western,3.40833,2.645,4.10667,3.97667,5.17667,2.96167,3.88,5.28333,6.99,2.32167,3.48167,3.53667
1975,Cape Cod and Islands,6.55429,4.02429,3.78286,3.41143,2.13429,3.57,2.7,3.85,6.37667,4.9,6.62,5.32167
1975,Central,4.70423,3.44962,3.21231,2.56077,2.18538,4.12923,4.99308,5.10577,7.87731,5.87192,5.69308,4.41115
1975,Connecticut River,4.56292,3.5,3.74917,2.73667,2.6772,4.9532,7.8116,5.9476,8.8428,5.4428,5.2956,4.4672
1975,Northeast,5.01094,3.29094,3.08344,2.26375,1.91688,3.08063,2.58906,6.2075,6.26031,5.66531,5.695,5.65781
1975,Southeast,5.925,3.40167,3.375,3.02292,2.2275,3.92042,3.30167,4.69458,7.02292,5.81708,6.42583,5.36348
1975,Western,3.71333,3.22,3.14333,2.47833,5.00667,5.47,8.87333,6.44667,7.01333,4.465,5.24667,3.24333
1976,Cape Cod and Islands,5.65,2.27429,3.62286,1.35714,2.59143,1.92714,4.30143,3.41143,2.37857,6.20714,1.80143,3.70571
1976,Central,5.63962,2.95385,3.05423,2.995,3.57808,2.56115,3.0776,6.02038,2.03346,4.78385,0.74077,3.08231
1976,Connecticut River,5.29,3.0668,3.1304,3.4204,4.6864,3.0204,3.3196,6.5225,2.3924,4.3928,0.8304,2.6664
1976,Northeast,5.18219,2.56094,2.74281,2.45156,2.6475,1.19871,4.61188,6.29097,2.06313,4.53844,0.65625,3.16875
1976,Southeast,6.14292,2.47042,3.38625,1.8696,2.5004,1.7072,4.1752,7.42,2.018,5.6592,0.8932,3.41
1976,Western,4.56333,3.25667,3.065,3.23167,5.555,3.79333,4.00167,6.53167,3.18333,5.43833,0.74667,2.28167
1977,Cape Cod and Islands,4.85857,2.32,4.61143,4.50714,2.33857,7.75,1.43429,4.66,5.62429,6.19333,2.24143,6.91
1977,Central,2.965,2.48654,6.1224,4.54923,2.86615,4.09385,3.39231,4.14462,6.18154,6.25885,4.77231,4.82808
1977,Connecticut River,2.498,2.5256,6.3328,4.5332,3.7396,4.1092,4.0268,3.732,6.9656,6.1076,5.2504,4.8144
1977,Northeast,4.34188,2.47969,5.64875,4.37938,3.4225,3.90125,2.32531,3.24156,5.33219,5.62375,4.61063,5.4975
1977,Southeast,4.3748,2.68,5.7164,3.7516,3.2684,5.8572,2.5696,3.88,6.3324,6.8996,3.6544,6.20333
1977,Western,2.50333,3.06833,6.90333,4.41333,3.07167,3.64167,2.85667,5.06333,8.02833,5.76833,4.81167,4.05
1978,Cape Cod and Islands,8.03571,1.49429,3.22143,2.98571,6.04,2.02286,4.49571,4.31714,1.88143,3.29857,3.62571,4.72571
1978,Central,8.63885,1.65692,2.76885,2.08731,3.72077,3.28115,2.88308,5.9472,1.30192,3.54385,2.14269,3.99038
1978,Connecticut River,8.746,1.1052,2.8228,1.5472,3.8956,4.1688,2.5776,5.4124,1.2732,2.6932,2.272,4.1932
1978,Northeast,8.11031,2.49313,2.59188,2.195,4.39719,2.37344,2.32563,3.87188,0.89844,3.35125,2.36031,3.84031
1978,Southeast,9.06125,2.4036,3.2112,2.4776,5.53,1.5944,2.7828,6.97292,1.8292,3.5308,2.7452,4.3164
1978,Western,6.98167,0.98333,2.435,1.15667,4.58,4.15667,2.95833,5.30333,1.64667,2.71333,1.74167,3.20833
1979,Cape Cod and Islands,7.46571,5.25286,2.32429,4.62571,6.24857,1.60429,1.09714,4.23,2.58143,4.08571,4.15714,2.80429
1979,Central,11.1262,2.83577,4.31846,5.09615,4.24808,1.10808,5.04154,7.49808,4.23731,5.07115,3.985,1.98654
1979,Connecticut River,10.725,2.5168,4.1488,5.6256,5.6152,1.3972,4.42261,5.8668,4.608,5.12625,3.8328,2.5652
1979,Northeast,11.5773,3.295,2.83031,4.00219,4.245,1.54688,2.9275,5.79719,3.37281,4.11563,3.89781,1.33156
1979,Southeast,11.3176,4.3,2.8692,5.2056,6.0148,1.6628,2.6352,7.1144,4.164,4.2284,4.458,2.0784
1979,Western,7.8025,2.43333,4.14167,4.44167,6.19667,1.21333,3.59167,5.03,6.34167,4.42,4.375,2.02167
1980,Cape Cod and Islands,3.56,1.14857,5.88429,3.41714,2.06714,2.96,1.41714,2.12571,1.69286,4.74,4.24,3.15429
1980,Central,1.02692,0.95192,7.34269,4.93038,2.28385,4.03,3.65423,2.20269,2.01692,4.18808,3.95769,0.93692
1980,Connecticut River,0.9932,0.9808,7.4316,5.128,1.7348,3.9732,2.7232,2.26,2.2152,3.2196,3.6388,1.1036
1980,Northeast,0.71375,0.87563,5.41594,4.87906,1.99156,3.29563,3.53719,1.6675,1.36438,4.79125,3.51156,0.97344
1980,Southeast,1.2996,1.092,6.2876,5.2388,1.4076,3.5232,3.0708,2.1224,0.7928,4.3528,3.5208,1.54
1980,Western,0.31333,0.84833,6.345,4.23333,1.51667,4.47,3.31333,2.38333,2.36833,3.37333,3.49833,1.54333
1981,Cape Cod and Islands,1.87,5.08,1.06286,4.29,2.69286,6.79,2.60429,1.56857,3.45286,3.93,3.77857,6.96286
1981,Central,0.75385,7.85077,0.67231,4.18385,3.57308,3.24038,5.58577,1.39538,4.69923,5.78192,3.12615,5.75769
1981,Connecticut River,0.5788,9.1616,0.4632,3.436,3.1268,2.736,4.614,2.016,3.9692,5.678,2.0376,5.0828
1981,Northeast,0.78281,7.28871,0.66406,3.57781,2.00906,2.50906,5.28469,1.42906,3.65594,4.29219,4.45719,5.89844
1981,Southeast,1.224,6.3884,0.7708,3.696,2.4788,3.1972,3.3568,1.4796,3.7616,4.1864,4.0624,6.65167
1981,Western,0.69167,7.685,0.605,3.365,3.12,3.49333,3.72,2.805,3.25,4.57333,1.685,4.515
1982,Cape Cod and Islands,3.95571,2.64286,3.04143,3.51571,2.31714,6.12833,1.74857,4.12857,4.77143,4.04286,3.80857,2.93857
1982,Central,5.27846,2.89654,3.38692,4.36231,2.63308,10.7315,4.21577,2.97538,2.41154,2.96885,4.03654,1.64385
1982,Connecticut River,4.6196,3.1204,3.1012,4.6376,2.9576,10.1156,3.592,2.5932,2.6444,2.2324,3.284,1.802
1982,Northeast,5.63152,2.54424,2.4497,2.81606,3.16394,12.097,3.88303,2.58697,2.01545,3.70545,3.57818,1.17394
1982,Southeast,5.5064,2.38,2.7348,3.8724,2.1516,10.2812,3.9376,3.3152,2.808,3.918,4.1788,2.09375
1982,Western,4.48333,2.98,3.15333,4.54667,2.05333,7.97833,2.65333,2.09833,1.96667,2.10833,3.83,1.71833
1983,Cape Cod and Islands,3.03429,5.14857,8.905,7.74429,3.45286,2.71857,1.38571,3.88429,1.21571,5.90143,6.10571,4.62429
1983,Central,4.95,4.13692,7.10692,7.57923,5.88346,2.47577,1.995,4.77769,2.00577,4.75,8.05346,5.83538
1983,Connecticut River,5.088,4.052,6.655,9.40167,5.7824,2.688,2.5008,3.8812,2.0112,4.5212,6.9764,6.5316
1983,Northeast,5.19879,4.60667,9.96719,7.11387,3.88121,1.73879,1.42848,4.35212,1.44394,3.7897,10.1358,5.865
1983,Southeast,4.4436,5.13,9.2596,8.8776,3.8956,2.1616,1.73,5.30217,1.9864,4.1764,8.8372,5.5756
1983,Western,3.88333,3.29167,5.00833,8.905,5.35667,4.085,1.97667,4.34167,2.04833,2.83667,5.31,5.45167
1984,Cape Cod and Islands,2.94,5.21286,6.50429,3.56143,4.22714,6.02429,8.90167,0.69,2.14286,3.93571,1.15429,3.16571
1984,Central,2.44593,5.70333,5.27423,4.31731,10.5204,2.89481,5.5,1.17519,1.41519,3.878,3.18167,2.99867
1984,Connecticut River,2.1192,6.1588,4.748,4.944,12.1772,2.2596,5.5192,1.3492,1.4172,3.26667,3.45741,2.82222
1984,Northeast,2.37265,7.42939,6.65324,4.52606,8.69727,4.02676,4.69818,1.24794,1.28735,4.26559,2.38088,3.53735
1984,Southeast,2.6004,6.9104,6.7544,4.7132,6.9268,5.45917,4.5668,0.9924,2.0712,4.6788,1.9592,3.1236
1984,Western,2.085,5.29667,4.46333,4.60667,12.6133,2.21167,4.55333,2.45167,1.93,2.42833,2.98333,2.4
1985,Cape Cod and Islands,1.46,1.73286,3.75857,1.26286,5.39286,4.79,3.10143,9.80429,1.42429,2.03571,5.12,1.45571
1985,Central,1.206,2.36733,3.18733,1.39533,4.543,3.798,4.57,5.58862,3.698,2.925,6.07167,1.53033
1985,Connecticut River,1.11778,2.13,2.89111,1.28815,3.74269,3.9263,5.14222,4.6584,4.74538,2.75704,6.49,1.80519
