YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1877,Northeast,2.99714,0.74143,7.58714,3.86,2.96286,2.36,2.74429,4.80286,0.39571,7.79571,7.57143,1.08143
1877,Southeast,4.86,2.68,3.06,1.56,2.5,2.61,2.8,5.79,0.82,8.38,6.88,3.84
1878,Central,6.53,4.34,4.6,5.58,0.96,3.85,3.34,4.96,1.18,5.6,6.62,6.1
1878,Connecticut River,3.455,3.13,3.105,5.61,1.98,5.97,2.435,4.72,2.54,2.44,5.17,5.44
1878,Northeast,6.22571,5.34857,4.74429,6.19429,0.77857,2.82571,3.54143,8.31143,2.01857,5.39571,6.61,5.26429
1878,Southeast,5.16,4.04,3.28,5.32,1.63,2.54,2.07,1.38,1.05,4.42,7.91,5.69
1879,Central,2.15,4.06,4.28,5.96,1.6,4.68,3.3,6.4,1.72,0.48,2.6,3.58
1879,Connecticut River,1.85,3.57,4.7,3.69,3.22,5.515,4.6,6.125,2.87,1.535,2.42,4.64
1879,Northeast,2.19286,3.11714,4.00714,4.88286,1.62,5.09857,3.34571,6.23857,1.80143,1.00143,3.11571,3.87429
1879,Southeast,4.07,2.37,4.29,6.16,2.7,0.44,5.71,4.68,3.21,0.8,2.92,3.63
1880,Central,3.23,3.37,3.26,3.27,1.645,2.31,6.13,4.105,1.765,3.145,1.89,2.045
1880,Connecticut River,4.215,2.935,2.67,2.785,1.975,1.61,6.39,3.135,2.245,2.635,2.14,1.995
1880,Northeast,3.4625,3.82125,3.02125,2.3975,2.12375,1.585,7.105,3.35,1.72,2.65,2.085,2.66875
1880,Southeast,2.37,3.33,4.44,3.89,1.19,1.77,7.33,11.74,2.16,4.17,3.19,3.91
1881,Central,4.77,4.775,5.88,1.705,3.2,4.22,2.925,1.415,1.565,2.995,4.025,3.98
1881,Connecticut River,4.015,2.87,4.425,1.665,4.46,3.92,2.645,3.105,1.77,3.675,4.22,5.685
1881,Northeast,5.6475,4.37125,6.535,1.92875,3.72,5.86625,3.16375,1.1975,2.55375,2.37,3.88,3.69125
1881,Southeast,6.81,5.64,5.57,1.8,3.49,8.75,2.2,0.91,2.58,3.3,6.11,3.3
1882,Central,5.175,4.51,3.015,2.225,4.58,1.605,1.295,1.54,8.445,2.16,1.385,2.59
1882,Connecticut River,4.94,3.655,3.87,1.445,5.86,3.48,1.545,0.825,10.865,1.895,1.39,1.875
1882,Northeast,4.46875,4.60875,2.89,2.1,5.12875,2.11625,2.7075,1.04625,8.73,2.09125,1.235,2.2625
1882,Southeast,4.85,5.84,3.55,3.9,4.72,2.27,1.74,0.43,8.02,3.7,1.84,3.06
1883,Central,3.2,4.595,2.105,1.52,4.815,2.67,1.975,1.28,1.955,5.565,1.82,3.065
1883,Connecticut River,2.835,3.955,1.655,2.105,5.225,4.19,3.655,1.62,2.965,4.795,1.5,2.625
1883,Northeast,2.91875,3.265,2.12375,2.5,4.24875,2.3425,3.39125,0.97625,1.39,5.56875,2.0725,2.85
1883,Southeast,4.67,4.42,2.24,2.5,3.43,1.94,3.29,0.88,2.05,5.27,2.91,3
1884,Central,5.94,6.64,5.04,4.8,3.665,4.37,3.5,4.035,0.98,2.65,2.76,5.8
1884,Connecticut River,3.59,4.555,5.215,2.095,2.28,2.15,4.76,5.69,1.27,2.48,3.04,5.245
1884,Northeast,4.91,6.305,4.9175,4.25125,3.4675,3.3225,3.715,4.53625,0.92625,2.6625,2.5375,4.9775
1884,Southeast,6.18,5.43,5.33,4.36,3.08,4.34,4.28,5.4,0.62,3.3,3.89,6.01
1885,Central,4.82,4.59,1.17,2.68,3.77,1.79,1.26,6.505,1.805,4.33,4.29,3.285
1885,Connecticut River,3.98333,3.40667,1.19667,3.02667,2.54333,2.48667,2.20667,8.45667,0.9,3.59333,5.26333,3.76667
1885,Northeast,4.7825,3.15667,1.07333,3.58444,3.92444,3.48889,2.27222,6.56778,1.60111,5.62889,5.69,2.25556
1885,Southeast,5.96,2.71,1.34,2.95,3.84,3.19,2.34,3.58,1.11,3.89,3.52,2.29
1886,Central,5.64,6.795,3.46,2.715,3.34,1.695,4.685,4.79,3.315,2.785,4.795,5.19
1886,Connecticut River,4.84667,4.8,3.52667,1.88667,3.55,2.04333,4.18333,3.46333,4.25,3.18333,5.15333,3.81667
1886,Northeast,6.12333,7.44111,3.45222,1.91444,3.24111,1.56667,3.09,3.57111,3.31875,3.62,4.67889,4.62889
1886,Southeast,7.79,9.66,4.25,2.36,4.27,1.385,1.97667,3.63,2.64,3.80667,4.62667,6.43333
1887,Central,5.91,5.46,5.37,4.36,1.715,2.73,6.73,5.6,1.285,2.87,2.685,4.805
